gene_id,TCGA-AF-2687,TCGA-AF-2690,TCGA-AF-2693,TCGA-AF-3911,TCGA-AF-4110,TCGA-AF-5654,TCGA-AF-6136,TCGA-AF-6655,TCGA-AF-6672,TCGA-AF-A56K,TCGA-AF-A56L,TCGA-AF-A56N,TCGA-AG-3591,TCGA-AG-3592,TCGA-AG-3725,TCGA-AG-3731,TCGA-AG-3732,TCGA-AG-3742,TCGA-AG-3902,TCGA-AG-4021,TCGA-AG-4022,TCGA-AH-6544,TCGA-AH-6547,TCGA-AH-6549,TCGA-AH-6643,TCGA-AH-6644,TCGA-AH-6897,TCGA-AH-6903,TCGA-BM-6198,TCGA-CI-6619,TCGA-CI-6620,TCGA-CI-6621,TCGA-CI-6622,TCGA-CI-6623,TCGA-CI-6624,TCGA-CL-4957,TCGA-CL-5917,TCGA-CL-5918,TCGA-DC-4745,TCGA-DC-4749,TCGA-DC-5337,TCGA-DC-5869,TCGA-DC-6154,TCGA-DC-6155,TCGA-DC-6156,TCGA-DC-6157,TCGA-DC-6158,TCGA-DC-6160,TCGA-DC-6681,TCGA-DC-6682,TCGA-DC-6683,TCGA-DT-5265,TCGA-DY-A0XA,TCGA-DY-A1DC,TCGA-DY-A1DD,TCGA-DY-A1DE,TCGA-DY-A1DF,TCGA-DY-A1DG,TCGA-DY-A1H8,TCGA-EF-5830,TCGA-EF-5831,TCGA-EI-6506,TCGA-EI-6507,TCGA-EI-6508,TCGA-EI-6509,TCGA-EI-6510,TCGA-EI-6511,TCGA-EI-6512,TCGA-EI-6513,TCGA-EI-6514,TCGA-EI-6881,TCGA-EI-6882,TCGA-EI-6883,TCGA-EI-6884,TCGA-EI-6885,TCGA-EI-6917,TCGA-EI-7002,TCGA-EI-7004,TCGA-F5-6464,TCGA-F5-6465,TCGA-F5-6571,TCGA-F5-6702,TCGA-F5-6810,TCGA-F5-6811,TCGA-F5-6812,TCGA-F5-6813,TCGA-F5-6814,TCGA-F5-6861,TCGA-F5-6863,TCGA-F5-6864,TCGA-G5-6233,TCGA-G5-6235,TCGA-G5-6572,TCGA-G5-6572,TCGA-G5-6641
DUT,1050.2639,1029.7674,1474.0798,1283.5691,1037.1152,1056.0392,910.5214,908.4663,667.3708,788.9044,880.0075,570.1051,1023.5715,915.7417,701.4865,1368.9382,666.6984,661.3574,1119.7217,1561.4689,863.9054,1115.3989,708.5974,708.0527,1072.6648,837.1159,879.045,1299.8306,1115.1701,636.7994,1336.9699,1023.8362,947.0072,867.221,661.5253,1122.7189,856.3053,779.2617,1583.1204,1499.8497,2666.4367,1767.096,696.3576,2041.9126,1022.4504,848.1309,723.591,2154.9177,1132.7612,1764.7311,829.5352,1336.7692,1666.4295,677.8453,383.2844,1942.0223,1488.1773,869.2742,1429.7844,743.5808,1040.9152,472.7129,1023.4141,731.8895,1191.8478,1175.0725,625.6261,617.5119,1338.4858,365.1077,760.6977,1316.3065,779.2649,527.2215,530.8195,1697.8119,783.2009,916.9481,836.8163,945.4552,511.3585,835.0805,674.7494,983.2143,750.279,761.6164,1279.1548,1137.3336,703.4907,959.5344,1006.7016,767.7114,1260.3837,606.2133,819.2527
EXT2,2770.1149,2099.7339,2066.4286,2025.5228,2194.1929,2149.6192,2209.799,1677.4194,2032.7777,1537.872,1767.5472,1962.7982,2489.8421,2364.3063,1800.6757,1834.6555,1109.2971,2555.1758,1440.8095,3152.1012,1685.9797,1480.6498,1931.1024,2356.9206,1105.6394,1498.6523,2789.5122,1819.4179,2239.8933,1895.7365,1669.572,2241.9454,2456.9733,2293.7853,2086.6359,2420.9093,1909.4978,1656.6488,2380.4745,2473.9169,3547.8895,2916.0637,2219.4784,1414.5167,2365.8944,2972.014,2144.592,2010.7966,2005.9344,2291.438,2155.7873,1965.7258,2386.2397,1522.825,1392.8417,2058.0954,658.867,1828.8377,1324.6671,1926.7677,1464.3746,2280.6215,1450.2203,1737.9348,949.1059,1644.6246,2207.8989,2063.3956,2069.2877,2717.0309,1547.5376,1845.6261,1472.6328,1900.6711,2763.8411,1388.9097,2070.182,2037.2294,1614.5739,2299.5061,1739.8006,2195.7869,2565.5403,2453.0075,1934.7026,1321.9747,2099.4318,1860.5499,1710.7807,1461.0144,1548.7863,2232.844,1792.4071,1751.3078,1712.6342
F3,798.6377,686.7986,1531.5374,974.3189,836.2993,1186.0718,1144.4724,960.9508,2079.8431,1405.771,344.9057,948.6454,2225.4796,976.9305,1824.3243,614.3553,2264.8526,585.4492,611.4292,628.8583,691.287,378.882,1323.3268,1388.7515,360.4385,690.4762,734.1438,1057.729,1642.6951,1331.5821,1267.6525,1646.8295,703.2641,741.5254,583.871,754.6964,590.2536,450.1166,935.6752,736.5164,1024.2603,614.0859,252.4747,108.7031,304.2751,445.2774,432.641,1318.7623,909.2267,306.8057,290.4596,1215.2218,146.1066,836.6627,321.5406,339.2573,129.9261,533.5949,389.981,887.3737,654.4161,1583.4559,2788.1057,715.1067,120.1284,543.0887,425.0658,910.9857,284.1573,438.001,1323.1874,3033.1618,218.5378,1555.7047,441.3513,3537.6546,375.0464,5283.9827,550.6088,628.4596,401.0293,410.5741,1716.6729,758.9286,292.5324,167.7588,400.9233,519.046,172.8625,165.0265,822.9415,553.0898,363.4895,222.1328,1319.1577
FABP5,283.5249,427.1665,212.9179,294.2841,146.113,250.272,271.9849,235.4273,360.8349,435.0766,792.8302,274.9697,525.1247,267.8629,91.2162,492.4018,438.0952,170.8984,486.7468,568.6129,102.1672,412.8046,253.937,137.5349,142.4064,66.487,275.3772,106.6317,242.8286,381.8953,297.3264,339.7844,133.9551,358.404,138.2488,264.2708,359.0254,323.3155,632.2993,200.7073,480.718,333.8157,234.1671,227.0382,116.0736,202.8986,178.4133,418.1698,241.5838,378.1559,143.1698,141.6331,203.2348,267.336,241.4059,265.7188,72.6601,358.5091,555.4851,253.0303,111.4404,251.3422,177.9736,342.2764,189.3627,169.3686,331.5429,158.4889,252.6275,118.4027,238.0301,99.4854,241.7099,191.4989,423.2093,330.0862,135.1652,300,148.101,147.237,44.1574,146.6336,82.0646,230.2632,50.8132,144.1678,388.4943,164.624,79.5539,167.2975,198.001,211.2211,52.9079,35.4125,450.0413
FGF9,17.4542,30.5449,37.6501,8.6164,97.825,5.4407,11.3065,2.8297,7.2839,2.7051,2.2642,16.5791,10.2865,25.3124,10.5574,35.1716,92.517,10.2539,15.221,23.4288,118.9739,8.1223,150.5906,19.4655,72.5299,16.1725,3.5155,5.0095,2.6684,34.3504,6.6595,4.341,18.652,2.4718,17.9724,15.6094,45.2511,12.6252,8.2117,8.3996,6.7312,2.8944,2.9803,0,18.1514,34.4828,4.0858,13.1666,4.1328,37.3216,22.66,23.1855,2.5278,1.4852,163.2745,30.3959,237.069,14.7131,5.0729,140.9091,1.4226,21.0139,6.1674,117.487,26.5933,21.3311,11.7957,5.2106,11.2884,36.9452,70.4514,4.574,19.976,30.4251,118.5486,30.3484,4.0847,10.8225,43.6126,29.8201,69.8489,29.3267,18.1953,2.8195,19.9454,15.7274,3.9062,1.6562,4.0892,9.841,31.8896,24.5818,15.3473,8.5848,8.6705
FOLR1,215.8365,49.9826,3.8948,101.4087,8.3255,32.1001,1.8844,1.1319,39.2212,10.3697,16.2264,97.8569,546.212,1.2816,118.2432,22.938,30.3855,12.6953,20.0787,150.6136,85.3605,18.6335,10.3346,271.2405,29.1889,289.7574,73.2386,14.7901,282.8552,459.4868,90.0989,30.3872,16.1085,118.6441,368.6636,11.2533,154.1522,114.1759,2.281,19.8939,26.3638,157.7424,47.6849,338.4933,203.487,50.4748,131.1996,2.6333,3.0057,20.8562,4.12,6.5524,57.1282,65.3488,85.644,0.9805,3.0788,128.9848,33.6081,131.8182,0,11.125,1.3216,8.3659,45.8505,63.9932,1.2638,2.1711,1480.7318,37.8355,1.71,0.5718,28.366,18.7919,417.2662,22.855,17.4527,5.1948,1.3629,33.1749,54.996,79.7191,1246.5652,141.4474,7.5982,0,17.7557,32.1298,12.2677,2.6495,3.8077,23.6713,82.7948,37.0221,8822.8737
FUT3,127.2882,2288.0944,2290.1655,3590.3983,2923.5092,1145.8107,4724.2462,3226.3724,3032.3575,3302.0739,3172.8302,283.8658,3809.083,3178.4684,4125.4223,415.5596,2506.1224,2464.8438,733.1968,3879.5091,2388.766,5241.7582,4201.2795,1630.9533,2355.4542,566.487,2089.937,3123.8073,4358.6391,1583.3502,1517.1873,1549.7482,2540.9072,2591.4548,1827.6498,2216.5351,1840.8752,4130.6436,2899.635,3033.1565,3513.1118,1933.9122,3902.5013,4378.397,2357.7741,2841.0795,1636.5906,3705.5958,1549.0668,1567.5082,2671.3017,1251.5121,2285.1278,3277.8364,1300.6868,3180.782,3049.2611,2418.3423,618.8966,3852.5253,2133.9656,3495.7169,144.0529,902.795,1931.2242,4467.5768,4070.3528,3997.3947,976.6446,2274.5786,4178.5226,3468.2676,5357.9704,4531.9911,593.6816,1385.5377,1262.1612,3422.0779,3459.0224,473.0221,2320.6709,1624.5353,1761.2328,2835.0564,2340.2588,3255.1332,1148.0824,2065.9159,2933.4572,4213.4746,2322.7035,3407.3062,1386.9144,929.3092,3731.6268
HBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4778,0,0,0,0,0,0,0,0,0,0.3946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6158,0.4904,0,0,0,0,0.4405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRT1,1255.8536,1070.4616,1233.7986,961.7257,733.8953,1356.3656,1618.0905,1301.6412,1188.4017,1036.0685,816.9811,726.2434,1102.7105,1518.1032,1038.4291,613.973,700.2268,1504.3945,1222.8583,811.826,743.0341,2110.3679,570.374,1151.6554,1371.8774,710.2426,1226.3073,1986.4027,1268.5791,746.0093,725.8839,1085.2579,782.1111,1244.3503,717.0507,1324.2581,1678.7668,1847.125,1433.8504,1679.9293,2319.4503,2210.3232,1339.0101,540.7637,933.8428,811.0945,1329.7015,1517.8407,628.9444,1753.5675,1213.3385,1747.9839,1614.2507,956.4688,1585.1651,1079.5441,691.5025,1304.0706,1824.35,980.8081,1299.348,448.7076,922.0264,518.3251,605.6855,686.0068,1455.0816,1746.8519,1364.3441,912.057,734.6101,981.1321,616.0607,531.0962,878.949,973.0236,751.9495,506.4935,869.0714,812.9718,458.0324,1052.8707,1082.0646,968.985,633.0286,1375.273,1303.9773,652.8652,532.342,602.5738,852.4512,762.49,600.5654,698.055,601.1561
IL10,23.4142,99.5025,4.3276,3.9768,22.4789,3.8085,0,42.4448,38.1006,6.312,3.0189,2.4262,6.1719,7.6898,0.8446,56.5803,11.7914,4.8828,8.4201,12.2722,13.7107,0.4778,11.811,8.935,0.4423,4.9416,0.5859,1.9084,22.9486,12.9319,2.3504,11.8392,3.8152,3.5311,6.4516,0.363,2.9836,1.0978,5.0182,1.7683,5.0484,7.7183,0,16.5119,11.4641,0.9995,20.429,0,0.3757,1.6465,3.605,10.5847,3.0334,4.9507,1.5025,3.922,0,1.4713,0,5.5556,3.7937,3.7083,10.1322,1.0912,3.668,2.9863,15.1659,5.6448,4.2818,0.8902,7.8659,7.4328,2.7966,5.3691,17.2036,8.6175,2.9707,32.0346,12.266,16.0283,6.8243,24.7831,5.1987,7.5188,7.1234,1.3106,5.3267,2.6499,0.3717,8.7055,2.8558,0.9104,2.8271,5.9021,1.6515
