gene_id,TCGA-AF-2687,TCGA-AF-2690,TCGA-AF-2693,TCGA-AF-3911,TCGA-AF-4110,TCGA-AF-5654,TCGA-AF-6136,TCGA-AF-6655,TCGA-AF-6672,TCGA-AF-A56K,TCGA-AF-A56L,TCGA-AF-A56N,TCGA-AG-3591,TCGA-AG-3592,TCGA-AG-3725,TCGA-AG-3731,TCGA-AG-3732,TCGA-AG-3742,TCGA-AG-3902,TCGA-AG-4021,TCGA-AG-4022,TCGA-AH-6544,TCGA-AH-6547,TCGA-AH-6549,TCGA-AH-6643,TCGA-AH-6644,TCGA-AH-6897,TCGA-AH-6903,TCGA-BM-6198,TCGA-CI-6619,TCGA-CI-6620,TCGA-CI-6621,TCGA-CI-6622,TCGA-CI-6623,TCGA-CI-6624,TCGA-CL-4957,TCGA-CL-5917,TCGA-CL-5918,TCGA-DC-4745,TCGA-DC-4749,TCGA-DC-5337,TCGA-DC-5869,TCGA-DC-6154,TCGA-DC-6155,TCGA-DC-6156,TCGA-DC-6157,TCGA-DC-6158,TCGA-DC-6160,TCGA-DC-6681,TCGA-DC-6682,TCGA-DC-6683,TCGA-DT-5265,TCGA-DY-A0XA,TCGA-DY-A1DC,TCGA-DY-A1DD,TCGA-DY-A1DE,TCGA-DY-A1DF,TCGA-DY-A1DG,TCGA-DY-A1H8,TCGA-EF-5830,TCGA-EF-5831,TCGA-EI-6506,TCGA-EI-6507,TCGA-EI-6508,TCGA-EI-6509,TCGA-EI-6510,TCGA-EI-6511,TCGA-EI-6512,TCGA-EI-6513,TCGA-EI-6514,TCGA-EI-6881,TCGA-EI-6882,TCGA-EI-6883,TCGA-EI-6884,TCGA-EI-6885,TCGA-EI-6917,TCGA-EI-7002,TCGA-EI-7004,TCGA-F5-6464,TCGA-F5-6465,TCGA-F5-6571,TCGA-F5-6702,TCGA-F5-6810,TCGA-F5-6811,TCGA-F5-6812,TCGA-F5-6813,TCGA-F5-6814,TCGA-F5-6861,TCGA-F5-6863,TCGA-F5-6864,TCGA-G5-6233,TCGA-G5-6235,TCGA-G5-6572,TCGA-G5-6572,TCGA-G5-6641
ABCB1,1632.6096,961.2403,218.9765,111.6821,1418.2537,3745.9195,195.9799,162.9881,217.9577,365.1939,998.1132,2397.4929,44.2319,216.2768,312.0777,1555.9591,90.7029,2745.1172,704.698,1278.9141,2512.605,294.3144,3388.7795,3055.1256,52.1862,2322.5517,987.8424,652.6718,116.8779,2094.9687,105.7683,1772.3247,870.7079,224.9294,1140.553,589.8902,510.6912,684.5067,131.3869,443.855,274.8563,712.9764,513.0389,55.0396,442.7991,2878.5607,981.5004,67.4128,1722.6464,2355.6531,1792.1978,22.1774,68.2505,339.1207,1093.3382,894.2272,1016.0099,188.3276,234.6227,3780.303,116.6568,948.5078,914.978,794.4014,1487.8496,177.4744,1498.0516,1686.4959,456.9872,612.4893,179.8906,971.984,1252.8965,642.953,3561.7767,159.6103,979.948,458.8745,1088.4972,2363.6194,987.5195,398.5956,893.0561,472.7444,1113.1426,684.1415,205.6108,768.4664,2547.5836,300.5299,1704.4265,1479.9135,952.3425,1490.5433,142.4443
ABCB5,8.94,21.2889,0,0.6628,0.4163,0.5441,0,4.5274,0,0,1.5094,1.2131,0.5143,0,0,6.1168,1.3605,0.4883,0.6477,1.4875,1.7691,0,13.7795,0,0,7.1878,0,0,3.7358,0,0,0,0.4239,1.4124,0.9217,0,0,0,0,0,0,0.9648,0,8.2559,4.299,0,1.8159,0,0,0.5488,0.515,3.0242,0,0,0,0,1.2315,0,0,0.5051,1.4226,0,0,0.3637,1.3755,0,0.4213,0.4342,0,0,0.342,0,0.799,0.4474,0.3128,0.7493,0.7427,3.0303,15.9004,2.2365,3.2114,2.8914,1.8567,1.8797,4.7489,3.0581,0.3551,0.9937,0.3717,0,1.9039,0,1.6155,1.6097,0
ABCC11,1.7029,0.4628,7.3569,1.9884,0.8326,0.5441,0.6281,2.8297,1.1206,2.7051,3.3962,5.6611,4.1146,1.2816,14.3581,2.2938,1.3605,8.3008,2.5908,0.3719,1.7691,0.4778,0.9843,1.9146,0.4423,7.637,1.1718,2.1469,1.0674,2.0206,1.5669,1.1839,2.5435,0.3531,1.3825,0.363,4.4754,0,2.281,1.7683,1.1219,2.412,1.2773,0,0.9553,2.4988,4.0858,1.58,4.8843,0.5488,2.06,3.0242,0,0.4951,2.0034,1.961,0.6158,7.847,0,7.0707,0.9484,1.6481,1.3216,4.7286,3.2095,0.8532,5.4766,4.7764,5.8388,2.2256,3.42,1.7153,3.1962,1.3423,2.5023,1.8734,2.9707,0.4329,1.8172,15.2828,1.6057,0.8261,0.3713,1.8797,0.4749,2.6212,3.196,3.9748,1.8587,1.8925,0.9519,1.3657,2.8271,35.949,1.2386
ABCC1,1770.1149,1927.5714,969.815,1593.376,1661.7754,2330.2503,1262.5628,2174.3067,1275.8089,3216.862,3572.0755,3490.093,1147.4567,1595.6424,1911.7399,2231.8647,2212.6984,1889.6484,1871.8541,1197.8431,1937.1959,1296.2255,1275.5906,2211.4081,1999.8806,2061.5454,3528.9293,2115.458,2119.2795,1904.2231,2407.9914,1882.4291,3066.5536,1441.0311,1750.6912,1884.7445,2747.8866,2245.094,550.1825,2882.405,1518.4406,1321.7559,3088.8771,759.5459,1564.8436,1451.2744,2386.5623,2083.476,1661.4051,845.225,2494.6569,1823.0847,1868.547,1393.6126,1929.7444,949.1359,1173.0296,1172.6336,1333.5447,1401.5152,1734.6769,1494.4561,2215.859,3514.7895,1728.5649,1399.744,2008.6361,2643.5085,2875.4379,2384.0788,1605.6772,3295.5975,2091.0907,1102.4609,3226.4623,2219.5579,1749.3502,3288.3117,1542.3405,2688.2863,1506.168,2104.0892,2797.6235,1156.9549,983.0227,1011.3587,1636.3636,1912.8851,1978.4387,3185.8441,926.7016,1415.7278,1313.8126,757.6123,1883.5673
ABCC2,108.5568,34.7102,21.2052,57.9952,338.4327,140.37,9.4221,7.923,4.4824,73.9405,37.7358,512.7376,5.1432,5.7674,2.9561,36.7008,8.6168,150.8789,210.1788,3.347,166.2981,7.6445,33.9567,248.584,604.5636,104.6721,4.6873,6.2023,11.2075,1040.6143,3.1339,87.6099,244.1713,8.1215,6.4516,236.3191,784.187,306.2989,5.4745,26.9673,7.853,36.6618,61.3092,1.376,19.5844,212.8936,367.7222,4.74,15.4043,14.8189,202.9097,13.6089,18.2001,11.8816,448.2536,7.3538,3.0788,109.3673,217.5016,127.2727,0.4742,39.9675,10.1322,104.0287,12.8381,2.5597,30.753,321.32,201.2456,187.3968,12.6539,17.7244,176.5881,12.9754,1224.2728,70.0637,154.4746,6.9264,115.3916,114.0621,173.4181,7.848,37.1333,9.8684,7.5982,12.2324,175.071,11.262,45.3532,4.542,136.6016,1138.5001,292.0032,1880.617,6.1932
ABCC5,728.3951,665.9725,733.5281,644.5749,519.9292,719.8041,767.5879,1031.1262,1276.3692,1299.8197,1203.7736,748.0793,880.0082,691.445,687.5,558.1573,520.6349,873.5352,1128.6179,372.2573,591.7736,508.839,615.6496,397.2876,442.698,303.6837,268.3463,639.313,521.4143,485.3506,750.5631,779.0178,566.7656,225.2825,417.0507,740.9021,1549.4779,578.5646,757.7555,508.3996,460.5245,547.0333,675.2528,661.8507,741.3422,483.2584,733.6284,918.499,479.4104,589.4621,573.7093,475.8065,971.1793,1356.4827,732.7319,299.0563,509.8522,833.742,1079.8985,213.6364,499.8222,606.1056,652.8634,570.3394,492.4347,761.5188,397.683,607.4685,586.2203,575.0989,787.9617,425.3859,834.5985,963.7584,861.7454,732.8587,825.1021,686.1472,373.887,618.0226,1412.2332,678.6452,321.9458,525.8459,544.699,263.4338,604.7585,410.732,1126.7658,761.9228,772.9653,561.7389,501.6155,264.5205,710.5698
ABCC8,0.4257,0,0,0.3314,3.3302,0,1.8844,0,20.1709,0.4509,0.7547,0.4044,0.5143,0,0.4223,1.5292,1.3605,0,3.8862,1.4875,0.8846,0,4.4291,0.3191,2.2113,0,0,0.2385,2.1348,4.8495,1.1752,1.1839,0.8478,0,2.3041,0.726,0.4973,0,0,0,0.5609,0.9648,0,0,0,0.9995,0,0,1.8786,0.5488,0.515,0.504,0,0.4951,4.5076,1.4708,0,2.9426,0.6341,0.5051,0.9484,2.4722,1.3216,4.7286,1.3755,1.7065,0.4213,0,0.3893,4.8964,0.684,3.4305,0,1.3423,2.8151,3.372,0.7427,6.4935,0.4543,1.491,0.8029,0,2.5993,0,7.1234,0.4369,0.3551,1.9874,3.7175,1.1355,2.8558,1.8209,0.8078,1.6097,7.8448
ABCG2,38.3142,49.9826,41.9777,117.316,132.3759,3.8085,169.598,36.2196,67.7966,21.1903,19.6226,11.3223,183.6136,16.3409,43.0743,51.6104,49.8866,106.9336,660.0067,27.8914,89.7833,112.279,458.1693,60.9493,11.0564,18.4187,43.9432,73.4733,28.8192,137.8056,18.4115,24.4676,19.4998,9.5339,322.1198,9.8013,55.6937,16.4677,24.635,45.5349,12.9014,14.9542,31.5061,41.2797,67.829,16.9915,22.2449,27.3864,28.9299,17.0143,42.7449,33.2661,6.0667,17.8224,148.7501,6.8636,176.7241,6.3757,10.78,97.4747,8.5359,91.06,17.1806,21.8242,188.9042,5.5461,17.2722,234.911,26.0802,27.5976,19.1518,95.4831,5.9928,48.7696,60.6819,22.855,19.6807,60.1732,155.8241,22.7379,63.4261,76.0017,51.9866,38.5338,62.2106,12.2324,13.8494,7.9497,25.2788,24.9811,596.3827,376.01,41.5994,468.947,11.9736
ABCG5,2.1286,1.3884,29.4277,17.2329,5.4116,0,21.3568,19.2417,31.9372,8.1154,1.1321,1.2131,11.8295,3.8449,36.7399,0,4.5351,0.9766,2.9147,1.8594,3.9805,16.2446,2.9528,10.2114,1.769,3.5939,0.5859,29.8187,11.2075,4.4453,1.1752,5.1303,5.0869,1.4124,1.3825,8.7122,16.4097,10.9785,2.281,49.0716,1.6828,2.412,5.5349,17.8879,1.433,0,0.908,43.1863,1.5029,2.1954,3.605,33.2661,2.5278,0,7.0118,1.4708,3.0788,11.28,3.1706,1.5152,1.8969,1.2361,6.6079,0.3637,13.2967,26.4505,1.2638,10.4212,9.3422,0,6.156,0,1.5981,3.5794,1.2512,34.8445,1.114,2.1645,3.6344,0,3.2114,12.8046,0.3713,1.4098,0.4749,4.8056,0,0.3312,2.2305,11.355,7.6154,1.8209,18.1745,607.9142,3.3031
ABCG8,1.7029,0,4.7604,2.3198,2.0814,0,15.0754,7.3571,20.1709,9.468,0.3774,0,4.1146,0,21.9595,0.3823,10.8844,0.4883,0.6477,3.7189,0.4423,1.4333,4.9213,0.9573,0.8845,0,0,18.1298,14.4096,4.0412,0,1.5786,2.1195,0,1.3825,1.089,9.448,1.6468,1.8248,14.5889,0,0,0.4258,0,0,0,0,41.6063,2.2543,0,0,10.0806,0.5056,0,7.5126,0,0,0.4904,0.6341,1.0101,1.4226,2.4722,0.4405,0,5.5021,14.5051,0,1.7369,1.557,0,3.078,0,0,4.0268,0.3128,33.7205,0,0.8658,2.7258,0,0.4014,17.7613,0,0.4699,0,0.4369,0,0,1.1152,10.598,5.7116,1.3657,7.2698,1179.3427,1.6515
