gene_id,TCGA-2H-A9GF,TCGA-2H-A9GG,TCGA-2H-A9GH,TCGA-2H-A9GI,TCGA-2H-A9GJ,TCGA-2H-A9GK,TCGA-2H-A9GL,TCGA-2H-A9GM,TCGA-2H-A9GN,TCGA-2H-A9GO,TCGA-2H-A9GQ,TCGA-2H-A9GR,TCGA-IC-A6RE,TCGA-IC-A6RF,TCGA-IG-A3I8,TCGA-IG-A3QL,TCGA-IG-A3Y9,TCGA-IG-A3YA,TCGA-IG-A3YB,TCGA-IG-A3YC,TCGA-IG-A4P3,TCGA-IG-A4QS,TCGA-IG-A4QT,TCGA-IG-A50L,TCGA-IG-A51D,TCGA-IG-A5B8,TCGA-IG-A5S3,TCGA-IG-A625,TCGA-IG-A6QS,TCGA-IG-A7DP,TCGA-IG-A8O2,TCGA-IG-A97H,TCGA-IG-A97I,TCGA-JY-A6F8,TCGA-JY-A6FA,TCGA-JY-A6FB,TCGA-JY-A6FD,TCGA-JY-A6FE,TCGA-JY-A6FG,TCGA-JY-A6FH,TCGA-JY-A938,TCGA-JY-A939,TCGA-JY-A93C,TCGA-JY-A93D,TCGA-JY-A93E,TCGA-JY-A93F,TCGA-KH-A6WC,TCGA-L5-A43C,TCGA-L5-A43E,TCGA-L5-A43H,TCGA-L5-A43I,TCGA-L5-A43J,TCGA-L5-A43M,TCGA-L5-A4OE,TCGA-L5-A4OF,TCGA-L5-A4OG,TCGA-L5-A4OH,TCGA-L5-A4OI,TCGA-L5-A4OJ,TCGA-L5-A4OM,TCGA-L5-A4ON,TCGA-L5-A4OO,TCGA-L5-A4OP,TCGA-L5-A4OQ,TCGA-L5-A4OR,TCGA-L5-A4OS,TCGA-L5-A4OT,TCGA-L5-A4OU,TCGA-L5-A4OW,TCGA-L5-A4OX,TCGA-L5-A88S,TCGA-L5-A88T,TCGA-L5-A88V,TCGA-L5-A88W,TCGA-L5-A88Y,TCGA-L5-A88Z,TCGA-L5-A891,TCGA-L5-A893,TCGA-L5-A8NE,TCGA-L5-A8NF,TCGA-L5-A8NG,TCGA-L5-A8NH,TCGA-L5-A8NI,TCGA-L5-A8NJ,TCGA-L5-A8NK,TCGA-L5-A8NL,TCGA-L5-A8NM,TCGA-L5-A8NN,TCGA-L5-A8NQ,TCGA-L5-A8NR,TCGA-L5-A8NS,TCGA-L5-A8NT,TCGA-L5-A8NU,TCGA-L5-A8NV,TCGA-L5-A8NW,TCGA-L7-A56G,TCGA-L7-A6VZ,TCGA-LN-A49K,TCGA-LN-A49L,TCGA-LN-A49M,TCGA-LN-A49N,TCGA-LN-A49O,TCGA-LN-A49P,TCGA-LN-A49R,TCGA-LN-A49S,TCGA-LN-A49U,TCGA-LN-A49V,TCGA-LN-A49W,TCGA-LN-A49X,TCGA-LN-A49Y,TCGA-LN-A4A1,TCGA-LN-A4A2,TCGA-LN-A4A3,TCGA-LN-A4A4,TCGA-LN-A4A5,TCGA-LN-A4A6,TCGA-LN-A4A8,TCGA-LN-A4A9,TCGA-LN-A4MQ,TCGA-LN-A4MR,TCGA-LN-A5U5,TCGA-LN-A5U6,TCGA-LN-A5U7,TCGA-LN-A7HV,TCGA-LN-A7HW,TCGA-LN-A7HX,TCGA-LN-A7HY,TCGA-LN-A7HZ,TCGA-LN-A8HZ,TCGA-LN-A8I0,TCGA-LN-A8I1,TCGA-LN-A9FO,TCGA-LN-A9FP,TCGA-LN-A9FQ,TCGA-LN-A9FR,TCGA-M9-A5M8,TCGA-Q9-A6FU,TCGA-Q9-A6FW,TCGA-R6-A6DN,TCGA-R6-A6DQ,TCGA-R6-A6KZ,TCGA-R6-A6L4,TCGA-R6-A6L6,TCGA-R6-A6XG,TCGA-R6-A6XQ,TCGA-R6-A6Y0,TCGA-R6-A6Y2,TCGA-R6-A8W5,TCGA-R6-A8W8,TCGA-R6-A8WC,TCGA-R6-A8WG,TCGA-RE-A7BO,TCGA-S8-A6BV,TCGA-S8-A6BW,TCGA-V5-A7RB,TCGA-V5-A7RC,TCGA-V5-A7RC,TCGA-V5-A7RE,TCGA-V5-AASV,TCGA-V5-AASW,TCGA-V5-AASX,TCGA-VR-A8EO,TCGA-VR-A8EP,TCGA-VR-A8EQ,TCGA-VR-A8ER,TCGA-VR-A8ET,TCGA-VR-A8EU,TCGA-VR-A8EW,TCGA-VR-A8EX,TCGA-VR-A8EY,TCGA-VR-A8EZ,TCGA-VR-A8Q7,TCGA-VR-AA4D,TCGA-VR-AA4G,TCGA-VR-AA7B,TCGA-VR-AA7D,TCGA-VR-AA7I,TCGA-X8-AAAR,TCGA-XP-A8T6,TCGA-XP-A8T8,TCGA-Z6-A8JD,TCGA-Z6-A8JE,TCGA-Z6-A9VB,TCGA-Z6-AAPN,TCGA-ZR-A9CJ
CHEK1,384.4147,164.3606,529.1121,119.8581,270.122,225.7189,249.7354,260.2922,706.6925,420.8433,398.141,301.0107,386.7495,252.4694,601.6398,611.984,477.4194,477.0505,216.6585,196.3845,183.5748,147.5647,208.32,507.269,413.2861,340.7333,377.4276,269.3778,332.1574,170.4097,364.1773,335.8626,179.3392,515.8771,437.5122,563.7205,634.8524,502.9409,131.755,162.9699,851.0482,262.0216,283.3484,204.3759,228.2042,334.5762,144.6016,186.8295,152.3109,325.4786,313.1824,685.2308,140.1495,245.0735,199.8513,372.1802,538.0131,299.6488,343.6436,381.8182,174.5236,76.1006,101.7862,329.6655,380.7026,402.6711,263.952,196.6445,516.7615,644.2308,208.9537,133.5905,349.8896,431.694,142.9387,237.5118,333.7004,291.5299,267.2287,262.5167,333.094,394.8673,594.7201,519.2023,251.376,338.6479,654.1872,619.7406,215.0289,336.7037,403.1198,125.7485,169.9179,169.8543,271.2075,327.9628,291.6023,230.122,568.1369,258.332,208.9336,857.346,301.8042,229.2924,296.4318,498.6351,701.8151,357.6063,630.6544,555.1858,224.3685,503.9661,232.3222,459.7029,210.2501,465.4677,351.5783,177.521,263.5659,198.2774,385.1104,205.7505,561.4135,709.2928,250.3365,239.988,1154.9669,565.7454,619.9689,264.3819,179.6919,496.6924,115.3318,398.5789,277.3552,397.0911,280.0744,138.3249,232.6161,438.1989,355.5315,174.6575,611.3616,412.6763,293.8738,217.5037,301.6438,861.5198,286.4277,504.8232,480.8464,649.6325,102.2887,355.0797,383.9525,269.6294,210.4253,578.986,449.2,748.0025,404.0005,542.915,462.55,367.0663,214.2311,220.6068,368.982,360.9314,193.828,1024.6242,481.1009,1221.4395,741.9842,522.2368,285.5792,467.4804,242.2179,190.7872,323.4837,479.0007,746.6836,520.138,315.3846,373.7974,291.6216
CHEK2,65.2103,145.9119,184.8617,205.817,159.4512,102.4417,154.8501,145.0863,547.6415,305.5256,784.6631,191.6577,296.4803,121.8914,169.9411,560.3196,309.6774,354.9854,87.8755,214.5609,188.1642,268.5677,207.4644,199.7536,206.3708,120.5424,150.6046,206.9134,383.8987,133.9322,359.7144,302.7157,230.7077,167.4419,305.4527,272.9985,285.8324,202.102,146.5775,257.857,189.3253,127.5761,246.9136,131.8997,114.6231,220.4978,86.6788,184.8629,181.0224,200.8837,124.3675,358.4615,127.7656,119.6225,133.6307,142.9732,219.3345,154.1163,277.5359,286.3636,80.4915,138.9937,81.3723,268.4138,261.4438,274.7913,86.3654,128.4026,288.7413,428.6859,175.931,144.8107,424.9448,171.8276,139.2853,154.5712,340.3084,122.784,167.6252,100.667,224.6949,215.8064,217.808,133.5613,217.4383,156.7918,297.3854,242.6447,97.1098,206.606,141.0066,168.2635,119.0965,135.2459,135.6038,176.5127,112.0556,245.7765,536.511,298.8359,164.1621,129.9957,400.7513,305.8146,267.4596,337.2763,386.8224,226.0274,118.5771,298.3916,183.8782,248.1707,133.6648,213.6864,253.5465,408.2154,374.3794,134.979,327.4271,228.8627,368.4939,329.7283,410.3733,282.8947,389.6366,192.4119,200,391.541,437.9216,308.8535,282.8573,501.1025,115.7075,200.9419,168.227,206.1697,204.8367,86.9289,153.2312,186.159,346.8688,224.0705,211.9026,240.6408,333.9475,152.5111,157.2609,256.0486,166.275,547.793,340.7516,260.413,169.0799,315.239,168.4993,388.3379,307.3233,180.7494,155.6,254.7634,165.0217,344.1296,371.4796,138.1295,251.7215,100.8045,129.3642,354.7865,287.8529,273.9637,353.7615,497.805,312.7122,252.4526,277.2563,258.0341,147.8599,171.5366,246.2721,132.5127,183.9436,352.2667,495.3177,246.18,141.2002
CHL1,41.0825,135.0105,14.556,67.395,8.5366,76.3972,66.3139,183.5989,42.1726,1.6569,79.3958,43.2775,81.5735,23.2574,82.6886,210.3862,591.1263,1692.4681,121.5863,331.5223,2002.2175,499.3588,438.4558,1605.9138,68.0643,0.8036,116.8926,240.4229,1.8091,425.2076,767.6287,97.0447,51.0681,22.739,885.6827,9.4335,118.1044,3.8569,204.2203,63.7941,63.3526,218.3513,197.5309,208.4977,237.5825,216.0637,1063.561,526.6625,75.9804,717.2224,62.5832,24,435.2488,86.5945,141.3631,276.1982,35.7056,26.9216,80.0864,200.6061,150.2006,336.478,173.8021,110.6906,51.7419,9.3489,499.8092,122.1171,153.7002,33.3868,428.7252,515.7784,143.7638,453.2483,707.3867,17.5935,985.6828,72.2259,20.6495,21.6985,209.6195,133.5666,1.3716,5.4701,1325.9394,380.1434,56.9913,4.7453,236.9942,12.8075,271.2103,367.0659,393.2238,154.827,1098.5149,789.1156,31.6847,462.3208,30.2705,1518.737,81.4592,9.6715,528.8552,615.469,265.3248,1151.653,26.6564,127.2531,89.8844,91.5141,237.7415,511.3448,223.5704,913.5555,520.5412,11.7059,29.666,44.6429,934.2931,14.7653,90.2501,5660.5117,28.2132,314.5559,2241.5882,232.156,66.6667,22.1943,712.475,90.9833,46.9814,108.5998,1302.4605,1761.2162,69.0462,100.7023,2733.7743,521.5736,0.9231,186.4612,125.97,727.9843,157.7998,12.8853,357.439,337.5185,74.2965,39.1489,54.0541,1.7539,42.3203,39.6687,419.8972,502.49,82.6152,506.4499,858.0109,1.1756,23.2,6.4536,40.2685,6.8826,148.6544,1.9185,124.3191,51.5654,8.4528,116.1061,4297.8332,11.9859,64.9541,30.2195,11.3165,93.5252,61.3813,1.4152,28.2101,217.2568,1820.5105,180.6662,26.3642,16.1487,1571.2375,2.5467,121.6051
CIB1,1685.0342,670.4403,2309.3159,2040.8163,1897.8659,2781.1177,682.5397,1206.5073,2232.7386,2797.7798,507.3586,5036.0372,3081.1594,2205.5342,830.1072,562.9827,1675.8065,817.0891,1160.9409,1473.8714,1271.673,2362.2152,1819.2707,1309.8973,1042.1998,1802.5113,332.3562,1045.9536,2217.2773,1655.0973,1291.5799,961.6613,1908.145,2624.4042,1960.3561,2557.3243,1653.7921,4274.2262,4927.6377,2755.7462,1610.9128,1449.4603,1588.9792,746.4013,1232.7197,1233.901,1704.4089,2051.5846,1218.8375,1363.1811,1309.4541,2096.6154,3553.8775,2093.5332,954.2503,1148.7846,982.0257,4507.2181,2962.9069,846.3636,1472.1665,1926.7296,3277.8565,1695.5789,5015.3885,1386.6444,1730.4291,3103.2114,2436.4326,1235.3098,1827.0638,1808.906,2596.8543,2664.8452,4046.5807,1371.3478,2422.9075,3089.2974,5032.4015,1830.1467,1077.5305,1804.8994,2048.3279,6475.6695,1325.5448,1091.1369,2337.5521,691.5533,2247.3988,3313.1109,2043.459,1070.6587,2091.3758,2111.1111,1295.3892,1040.8163,4084.4925,725.8496,1154.7975,1348.4293,1367.1883,1184.1843,1442.6425,1334.339,1637.9994,1161.6621,455.3964,1508.2913,769.4335,1582.9174,1360.3269,1233.7207,1175.5346,1455.7771,869.8647,1799.5105,781.1217,802.521,708.7486,818.7731,2042.5185,1511.2108,924.1949,7821.1349,1389.9731,3691.9603,1606.181,1244.5561,1983.2481,2755.61,2230.4076,1019.2944,606.7129,907.8741,898.1861,2255.4773,1466.7218,2985.4061,2204.9299,2148.9876,1144.9197,3390.9002,4030.6583,3514.8877,1103.6389,3510.3397,2435.4394,1515.6231,1631.3161,1948.5531,811.7475,3403.5702,2174.6847,1156.8725,1481.4264,852.1363,812.5999,3363.9971,840.8,2377.0744,1580.4711,472.0648,945.7552,5376.4988,1083.7796,1917.9994,1786.108,1411.3842,3053.4471,1386.9412,1620.9174,1816.0286,1594.1154,1409.7449,1482.255,1876.2899,1413.0999,1777.243,1514.2256,1575.6698,1693.0688,3032.5734,999.3311,1786.0781,6212.8089
CITED2,365.8298,804.1929,854.8035,380.156,450,640.2604,856.0847,668.6587,558.4859,294.259,18587.9163,421.956,597.9296,680.6305,295.3163,329.1611,1259.1398,2268.917,1344.2673,951.1015,470.6192,522.9692,1147.6847,850.2669,839.0961,383.7268,644.5584,425.2135,494.9796,1795.0184,334.4243,339.4569,1234.6467,488.3147,429.7134,468.5283,2107.0218,1644.5859,954.4004,366.1462,569.4406,1020.1178,870.2198,861.8136,780.8267,287.4131,5442.6883,1149.2964,356.7927,575.8468,540.0799,4229.8462,425.8854,347.2107,1598.2156,518.6528,420.6947,641.826,692.238,452.1212,572.4674,723.8994,477.1761,762.8027,505.2197,1240.0668,860.5321,943.2649,619.5446,471.4209,1712.0538,1549.7896,1415.8389,867.6381,901.0161,513.6664,480.5433,1224.8851,533.85,419.3864,563.173,522.3097,673.7235,472.7066,1193.3454,600.1532,464.7215,506.8016,1640.4624,396.697,483.8574,2255.6886,1170.4312,599.7268,1193.0643,1088.0773,879.7012,410.4103,748.6305,487.6415,760.7006,363.8174,444.1763,634.3939,976.2123,417.9557,1190.5828,819.0339,1022.1051,244.0377,410.104,292.443,484.9329,253.7141,994.5059,335.4262,497.4563,1237.395,436.6925,1329.2319,1022.0738,529.9393,180.3933,321.9572,445.8277,410.7197,3639.7351,605.5276,493.6624,482.2521,521.155,1695.1488,1835.5414,498.0583,777.9403,458.7196,547.9537,1193.2107,1728.0053,768.2079,750.4061,1309.6869,583.4085,304.3705,805.6195,1985.5982,628.7961,612.766,673.913,546.0392,627.5082,567.0284,575.8991,272.4104,589.5988,622.1758,331.9476,571.6385,744.4,330.9773,559.2841,642.915,394.0125,252.9177,670.6197,2218.8621,812.2014,522.6391,652.9219,240.4031,528.8073,1193.2619,204.8284,672.0078,1825.3142,918.6862,943.5798,1266.7583,1270.515,487.6901,1340.9396,738.7086,512.709,1563.9502,699.3732
CKS1B,884.5778,532.0755,1023.6536,992.3606,751.5244,661.9642,886.7725,579.3493,1358.2594,1160.7986,1470.9527,805.6578,1538.3023,604.4133,708.7591,1513.4487,1725,698.7607,1191.6215,866.1464,974.1983,731.9207,368.7306,1265.8727,1890.8249,1625.7157,1216.5628,973.0785,2318.9507,597.795,1462.9575,1765.1757,1069.7267,1103.1869,1886.5276,966.7864,1502.2744,1758.3647,325.2702,1659.4519,1360.0659,569.1855,494.4294,472.2972,527.6138,809.4326,345.4827,494.0165,314.7759,1170.8395,706.2583,988.3077,483.8783,382.7366,417.5465,512.9038,947.0488,712.0562,1128.1995,1004.8485,397.9438,405.6604,934.7888,599.1731,539.9246,874.1235,442.2323,812.6176,798.5452,1016.8269,1263.9706,507.7139,1764.3488,975.7134,654.4126,906.0635,3274.2291,607.6822,1220.1418,862.9613,587.2218,879.8484,1126.8958,1529.8006,1107.7119,677.5743,869.7234,1430.2436,691.3295,1271.6549,699.3474,425.4491,305.4415,646.1749,412.4096,886.1439,831.0149,984.4107,4206.9238,1192.1544,677.9977,983.6439,926.1945,1522.4904,766.3922,1136.4877,2383.2004,1096.2509,923.7301,698.8353,797.9198,1641.7635,1014.0229,564.6986,567.1177,1358.3058,1084.1557,291.4916,944.2599,769.9068,2101.1648,1640.2005,1007.6945,1828.9474,1162.1803,1162.9027,1180.1325,2018.0067,1679.3418,2404.3248,1608.9933,2295.4796,682.9747,1248.2855,1174.9561,615.65,549.4006,444.797,1295.0809,776.6697,833.0626,845.8904,1174.0307,1450.8097,1439.8895,649.1876,494.3194,1270.0304,826.9683,1025.1388,1296.6071,1169.5251,1094.8155,666.0857,859.4354,1167.9964,957.4672,1604.4085,1278,1354.6404,656.139,3879.7571,659.3998,704.0767,881.4078,593.9711,1391.7677,1541.7206,1105.1871,1700.2871,2390.4587,2658.0909,956.6201,1239.6991,871.0426,2482.9294,879.7017,961.155,1310.0357,2168.3563,1099.722,1782.3645,1700.6689,2147.708,1682.2995
CKS2,521.3564,625.1572,1107.3508,735.2912,457.622,512.6424,1650.0882,758.9641,1168.1814,1266.5065,1340.8211,842.7528,1049.6894,483.6427,655.6021,1039.9467,564.7849,412.5304,278.0198,526.7213,598.2871,1281.4516,565.9288,1514.2505,647.1549,505.0728,500.9161,614.8841,3128.3582,335.9194,466.2303,1625,724.5664,1392.8223,807.6948,834.1463,700.0248,1647.6714,237.9825,1291.4293,1249.1074,542.6889,1133.9958,594.2357,475.5123,1269.7773,232.5128,782.7173,375.3501,682.7688,411.4514,654.4615,405.3462,939.7724,359.0582,505.9051,364.343,637.5341,771.4508,463.0303,328.7362,679.5597,564.7859,1141.4696,966.0591,829.0484,1027.7132,1653.0707,748.8931,1221.4209,364.9573,177.77,976.5453,719.49,550.7478,759.6607,1628.1204,525.6074,760.0833,350.7337,456.9275,593.1759,2257.9063,1117.7208,509.8553,845.7843,987.0405,652.0089,400,1057.971,260.4074,429.0419,241.7864,377.9599,615.8153,462.227,2270.9943,722.4578,1776.2467,303.6198,735.6203,1949.936,1424.3419,1204.0592,526.075,677.2824,2312.7951,475.8472,624.2131,540.2108,506.6865,835.7622,580.8056,483.1037,358.8356,706.6085,578.8538,497.3739,895.9025,564.2468,1241.3456,980.4801,523.796,1193.6678,385.9354,767.841,1116.5563,2845.4774,1078.9415,1850.2652,630.6169,1302.6461,464.3326,794.1833,630.4857,1060.0743,524.3902,346.764,1310.1579,1309.4591,900.9204,885.5186,1204.6889,922.5144,1045.6011,434.2688,840.7888,655.5623,782.9025,838.6437,592.4845,1238.5953,669.7805,654.8805,1187.8158,622.7724,515.1903,1155.327,1004.4,1482.7904,510.5935,2465.1822,488.5254,528.8569,1169.0895,363.6716,602.7196,893.5964,633.4865,812.9872,2891.7431,1448.0858,1913.6175,1168.4107,375.8306,1482.8705,514.2672,583.0182,711.3713,829.4714,773.957,900.9466,848.1605,1390.7753,1198.7609
CLDN4,6209.6511,9342.9769,11953.4207,5189.4121,13396.3415,5901.682,5169.6649,6683.5989,8242.3359,6389.5286,10753.6793,13911.0241,17423.6025,3140.8757,2379.9808,4780.0266,901.3441,1095.3478,2608.9921,1929.8627,6693.3893,13231.8285,55.609,2338.5626,512.3877,3322.9533,828.875,4845.2216,186.7028,2103.1714,3969.0568,1300.7188,1465.054,6357.0485,3288.2303,6621.7148,2174.1791,55.9252,7152.2388,7153.2534,6790.076,2849.3621,9688.9491,6234.323,5527.2664,9228.6607,5739.2858,12457.398,6810.5742,11548.7482,16552.5965,832,1875.7079,33218.4291,9939.8265,11253.39,35395.9194,8375.7316,6981.7898,1534.2424,9391.675,9176.1006,14337.3972,31945.1797,7341.6706,11347.5793,8947.6605,20551.1433,10338.0772,12267.3611,1032.812,9089.4109,21368.3775,2740.4372,17034.424,13495.7587,7684.6549,8521.9961,3494.9257,6538.3726,6568.5571,20343.832,5336.8446,13608.2051,4269.8405,1667.3397,10516.1046,4942.4233,4700.578,7562.8581,6445.3677,16192.2156,1507.7002,10148.4517,7907.0057,5312.2091,13259.1448,1469.1801,1589.202,2448.7323,1003.0055,2203.1006,8381.3465,2259.7367,2921.9274,511.0707,4050.5453,825.5227,140.5358,1964.5036,4037.1471,2433.7453,1175.5346,5838.1957,963.0176,772.1613,1686.301,2080.3571,2248.062,2435.929,2721.5118,1898.7075,408.6634,228.6184,1660.8345,4889.19,906.8433,1985.3434,4160.4032,6669.5226,6999.2662,4982.9107,513.1702,3837.0652,1297.2499,6592.6648,355.5188,17091.3706,17652.6697,5230.5833,2625.1579,6791.5851,6791.7042,6446.1083,11337.1718,11525.1108,9134.26,3932.6444,17098.7074,7878.1058,6575.3375,24948.7808,16362.4475,2614.5418,11157.8009,3931.3996,3695.5548,5949.4489,1659.6,10633.9889,7243.8479,380.5668,10129.7832,11668.745,14323.6419,4939.0327,5719.5884,8856.727,7551.4117,919.8331,480.367,2704.2369,8314.9755,452.2564,3543.4712,155.1978,544.7471,15891.0278,15588.6927,3883.0558,1926.1044,5048.5306,5920.0669,3170.9111,11345.8685
CNN1,471.4705,493.501,190.3202,62.1486,152.1341,116.3321,180.5996,162.0186,194.2953,27.8353,190.1627,775.5181,1924.2236,562.1016,915.4805,528.8948,1737.6344,7008.0339,8661.0356,437.8149,743.0609,116.8712,80.4192,678.1109,1249.9319,30.9392,1080.6156,1059.2924,654.1836,1847.829,2721.5115,24.7604,575.2673,46.3968,78.5078,136.3563,47.3079,179.7319,188.5744,56.557,463.2427,698.7242,220.7167,1123.8956,2699.2011,41.9228,1283.339,557.7352,57.0728,1104.271,39.1478,637.8462,473.9107,203.7191,341.2144,75.9858,53.1941,100.6633,35.238,168.4848,135.9077,755.9748,113.4108,327.0404,67.5169,236.7279,753.0089,641.5638,227.704,129.8077,13354.2477,3166.5498,184.8786,42.1979,252.0836,307.8856,141.7034,1125.7387,35.8329,378.1236,738.6935,66.7833,601.3037,57.4359,1011.4234,1006.475,79.1209,53.4641,4425.4335,369.0597,1184.9106,1477.8443,3456.8789,1637.5228,43.5425,46.903,69.0366,4020.6118,595.9225,224.8445,6834.0761,114.3507,3318.9152,1190.8941,555.0473,274.7953,158.1068,1303.8933,5823.4519,447.5874,153.0461,325.8931,95.4749,1853.8989,10325.8713,124.9335,456.0221,1028.3613,1223.6988,585.3401,283.4569,403.0599,68.6805,726.1513,508.4118,201.4453,5252.9801,269.263,109.7028,598.1232,142.3974,126.7916,25659.2603,1872.5936,990.3452,87.0424,157.2964,607.868,143.6927,189.181,249.7744,230.9198,348.963,47.0138,12.8973,16.6174,1153.3294,226.1398,30.5523,92.9553,122.9478,188.0761,593.1808,574.2032,117.0877,55.1786,112.8878,29.978,96.4,61.7701,97.3812,94.7368,70.4153,37.7298,309.1048,69.0123,497.9787,173.0272,160.7354,133.5573,822.7523,31.0362,67.5217,241.3342,856.4776,90.0997,2063.5538,1479.2025,4743.2074,52.8602,639.7115,325.6026,108.0268,67.0628,2175.9239
CNR1,3.5866,236.0587,9.8253,8.8784,209.4512,15.6267,50.7937,10.2922,3.916,174.6334,5.8095,57.1882,46.7909,66.1296,2.9532,0,6.7204,71.7444,12.1208,15.8056,82.6087,1.1805,452.9997,7.885,22.5973,2.009,662.1473,71.2485,0.7237,100.1769,10.116,0,1.502,1.6078,11.1783,0.8576,1.9849,1.1571,0,8.0413,10.2536,125.6133,9.0334,296.4309,119.8333,0.8062,18.0752,68.0453,19.958,222.3859,11.7177,5.8462,14.8003,3.3306,63.4449,4.9991,4.1292,8.9739,13.3963,22.4242,4.012,112.8931,22.1151,599.8294,7.7823,304.1736,43.3561,226.2758,23.7192,18.6966,143.4777,107.2931,1.9316,2.7322,9.1335,8.4826,0.3671,81.7466,4.8587,68.297,92.6059,4.9577,1.6459,2.2792,41.041,92.4598,0.9094,190.4461,41.6185,0.337,9.0972,72.7545,199.1786,77.8689,39.4993,63.7308,0.2576,24.7864,45.8576,2.2325,16.3748,0,12.4072,21.9419,21.043,0.3033,95.6373,52.2711,23.1298,6.1009,0.3715,2.9515,181.0045,4.6186,50.8405,9.3647,88.2623,5.2521,32.1152,4.9218,114.0344,0.7913,1.4249,6.9901,1.3459,3.6134,298.4547,2.9313,28.4634,2.448,6.2965,47.9603,210.3772,11.8979,1.7554,9.8479,2.4804,108.8198,0.3077,7.8574,4.6923,8.8063,0.9017,0.3483,2.3031,12.1861,1.2383,5.8359,3.5253,0.2923,212.3313,2.8001,27.5572,4.7311,1.4859,19.3871,2.2386,0,2.4,2.7658,9.7381,4.8583,19.0904,0.3197,1.1477,5.4279,3.6751,11.9664,28.3651,0.3425,30.8257,79.2241,7.5443,5.8862,4.9417,0.4717,4.5396,91.7841,56.3535,0.7241,59.0923,45.4417,27.4247,58.8568,22.4768
COL10A1,1107.9231,272.956,1319.1412,12.914,3.3537,7.8133,853.6155,46.8127,223.2136,28.4981,1546.4756,215.6149,10.766,14.2907,714.6654,3363.7816,1362.3656,1273.7124,797.6971,923.8368,214.0316,47.811,7.6997,3702.3409,482.1672,285.2838,117.9919,338.6743,274.9887,1345.8555,67.5394,170.9265,428.6717,4.1344,85.0068,27.1569,36.0599,3.0855,113.227,148.4956,291.8612,18.6457,312.2553,363.0677,1274.0535,135.846,9.0376,2323.7657,3.5014,437.7025,16.245,414.4615,278.1847,250.902,6.741,8.7484,32.0622,142.4112,7.863,38.7879,30.0903,5026.7296,5.387,130.3787,34.9153,275.4591,156.082,241.0915,256.7995,33.1197,702.0161,3.8569,188.4658,1299.0285,33.3371,353.7543,407.489,4.9245,186.1491,36.6385,524.4078,16.3313,961.4824,39.6581,77.7411,911.7872,360.4396,13.2869,16.185,1444.5568,1850.1435,2381.1377,224.846,99.2714,260.9439,53.7057,3.6064,93.4055,589.8232,530.3779,1578.8165,58.8821,1336.2511,2918.8151,12.1988,10162.8753,524.1739,1878.1543,2105.6946,1444.8142,1363.2987,1710.1396,188.1651,3217.6122,1747.2735,775.141,5308.2439,617.1218,212.9937,1854.1044,93.5082,2442.0997,351.6671,98.6842,4759.4213,551.9422,4615.894,1797.3199,252.9093,1688.2905,398.6157,469.129,195.726,5116.4174,2561.4394,96.8902,418.5614,422.9061,574.1556,9.0662,604.2231,1.9569,51.3977,3.1343,6.9093,13.2939,977.2467,336.7781,5.5817,68.1087,41.2258,202.5435,98.085,3878.7351,12.1842,145.2539,548.449,6.1719,181.6,28.2729,6.3166,354.6559,10.6405,7.9936,1249.8087,202.7721,652.7012,192.1087,5.7781,490.0525,2194.1284,155.998,118.0687,791.3669,1902.0409,456.8666,605.0584,296.6655,10.978,69.8769,2979.1586,4792.7804,193.9799,280.7018,3814.4226
COL11A1,520.7043,72.956,833.3333,11.2998,4.5732,1.3022,471.2522,10.6242,166.8831,21.8706,9557.3199,16.2291,2.4845,0.5604,114.0995,1852.996,2879.8387,814.3489,263.6264,2119.1346,22.1124,54.3038,0.4278,2935.8522,758.7803,232.2451,64.8589,86.8646,360.0181,348.986,23.5049,329.8722,1255.9752,1.6078,7.7988,2.5728,17.2029,2.6998,231.3948,68.887,71.0428,4.9068,156.2782,13.7396,72.2473,114.8846,3.6972,868.4622,0,277.7614,2.9294,1597.5385,41.6824,104.9126,4.5601,3.9993,11.659,33.5544,0.8737,16.6667,70.4614,2192.4528,4.2529,179.1613,28.8156,22.0367,79.7752,20.6522,249.2094,2.4038,1373.8563,0.3506,101.5453,170.9168,18.2669,165.5671,253.304,1.9698,9.1101,2.8457,133.5248,18.0811,73.7914,2.2792,116.4143,422.1959,488.3668,8.858,5.7803,883.3839,691.9559,1884.7305,27.7207,1.8215,88.6401,2.8643,4.8944,61.0528,748.4046,883.7506,3690.3306,266.2495,1041.8912,2823.9166,13.4187,7146.8001,847.3059,3966.1139,2646.4646,1442.5957,2222.1397,2818.6681,85.1318,5183.5886,4352.2755,1422.156,4012.0135,1252.6261,91.9158,2009.8436,17.5939,4947.2435,305.2152,270.5592,8622.8129,1211.081,7321.4128,1873.1156,147.9505,2241.9421,82.823,328.0044,37.943,2250.6816,7983.031,55.9104,795.9901,2.8553,328.9241,0.9066,312.579,0,18.936,4.179,26.7158,2.2157,1374.2377,1157.4468,2.0564,35.0775,28.0919,266.9467,9.3414,13729.5817,0.2972,106.778,494.7234,0.5878,132,6.1463,0.7896,327.1255,4.6944,1.9185,2880.2601,315.9833,624.4028,115.4592,7.8792,598.9531,1533.211,599.8979,21.5013,597.4493,2751.7561,445.3093,2588.8457,13.0629,7.6846,24.9819,1810.9502,7102.7939,270.5686,385.6819,4864.2029
